lat,long,nombre_estacion,id_estacion,capacidad,dirección_completa,direccion_nombre,direccion_altura,direccion_interseccion,barrio
-34.5924233,-58.3747151,002 - Retiro I,2,20,"Ramos Mejia, Jose Maria, Dr. Av. y Del Libertador Av.","Ramos Mejia, Jose Maria, Dr. Av.",,Del Libertador Av.,Retiro
-34.611032,-58.3682604,003 - ADUANA,3,20,Moreno y Paseo Colon Av.,Moreno,,Paseo Colon Av.,Monserrat
-34.6017255,-58.3687628,004 - Plaza Roma,4,20,Lavalle y Bouchard,Lavalle,,Bouchard,San Nicolas
-34.5805497,-58.4209542,005 - Plaza Italia,5,42,Sarmiento Av. 2601,Sarmiento Av.,2601,,Palermo
-34.628526,-58.369758,006 - Parque Lezama,6,20,"Garcia, Martin Av. 295","Garcia, Martin Av.",295,,San Telmo
-34.606498,-58.381098,007 - OBELISCO,7,16,"Pellegrini, Carlos 215","Pellegrini, Carlos",215,,San Nicolas
-34.6094218,-58.3893364,008 - Congreso,8,24,"Cevallos, Virrey y Yrigoyen, Hipolito Av.","Cevallos, Virrey",,"Yrigoyen, Hipolito Av.",San Nicolas
-34.585443,-58.407741,009 - Parque Las Heras,9,24,"Diaz, Cnel. Av. 2300","Diaz, Cnel. Av.",2300,French,Palermo
-34.6011762,-58.3850791,011 - Tribunales,11,20,Talcahuano 600,Talcahuano,600,,San Nicolas
-34.5927096,-58.388807,012 - Plaza Vicente Lopez,12,16,Parana y Juncal,Parana,,Juncal,Recoleta
-34.61009,-58.406,013 - ONCE,13,30,Pueyrredon Av. y Rivadavia Av.,Pueyrredon Av.,,Rivadavia Av.,Balvanera
-34.577424,-58.426387,014 - Pacifico,14,30,"Santa Fe Av. y Bullrich, Int. Av.",Santa Fe Av.,,"Bullrich, Int. Av.",Palermo
-34.6004,-58.3636706,015 - JUANA MANSO II,15,20,"Manso Juana y De La Barra,  Emma",Manso Juana,,"De La Barra,  Emma",Puerto Madero
-34.6064101,-58.4187306,017 - Plaza Almagro,17,20,Bulnes 441,Bulnes,441,"Peron, Juan Domingo, Tte. General",Almagro
-34.5956027,-58.3776353,019 - PLAZA SAN MARTIN,19,24,Santa Fe Av. 750,Santa Fe Av.,750,Maipu,Retiro
-34.5798619,-58.4417756,020 - Distrito Audiovisual,20,20,Zapiola y Dorrego,Zapiola,,Dorrego,Colegiales
-34.6396832,-58.4062115,021 - Parque Patricios,21,24,Iguazu y Uspallata,Iguazu,,Uspallata,Parque Patricios
-34.5938629,-58.3825498,022 - Arenales,22,20,Cerrito y Arenales,Cerrito,,Arenales,Retiro
-34.6003095,-58.3793463,023 - Suipacha,23,12,Suipacha y Viamonte,Suipacha,,Viamonte,San Nicolas
-34.610583,-58.3808943,024 - ALSINA,24,18,"Alsina, Adolfo E Irigoyen, Bernardo De","Alsina, Adolfo",,"Irigoyen, Bernardo De",Monserrat
-34.5894269,-58.4161178,025 - Plaza Guemes,25,24,"Salguero, Jeronimo y Mansilla, Lucio Norberto, General","Salguero, Jeronimo",,"Mansilla, Lucio Norberto, General",Palermo
-34.6004606,-58.3636593,026 - JUANA MANSO I,26,24,"Manso Juana y De La Barra,  Emma",Manso Juana,,"De La Barra,  Emma",Puerto Madero
-34.599068,-58.3900887,027 - Montevideo,27,16,Cordoba Av. y Montevideo,Cordoba Av.,,Montevideo,San Nicolas
-34.6231273,-58.4127377,028 - Plaza Boedo,28,20,"Calvo, Carlos 3310","Calvo, Carlos",3310,Sanchez De Loria,San Cristobal
-34.6079414,-58.4335573,029 - Parque Centenario,29,30,Patricias Argentinas Av. y Estivao,Patricias Argentinas Av.,,Estivao,Caballito
-34.5908211,-58.3973698,030 - Peña,30,20,Peña y Azcuenaga,Peña,,Azcuenaga,Recoleta
