station_id,num_bikes_available,num_bikes_available_types,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,is_charging_station,status,name,capacity,lat,lon,timestamp_consulta
2,0,"{'mechanical': 0, 'ebike': 0}",2,18,0,1,1,1,1574868944,False,IN_SERVICE,002 - Retiro I,20,-34.5924233,-58.3747151,2019-11-27 12:37:08.432487-03:00
3,0,"{'mechanical': 0, 'ebike': 0}",5,15,0,1,1,1,1574868901,False,IN_SERVICE,003 - ADUANA,20,-34.611032,-58.3682604,2019-11-27 12:37:08.432487-03:00
4,0,"{'mechanical': 0, 'ebike': 0}",0,20,1,1,1,1,1574868838,False,IN_SERVICE,004 - Plaza Roma,20,-34.6017255,-58.3687628,2019-11-27 12:37:08.432487-03:00
5,1,"{'mechanical': 1, 'ebike': 0}",1,40,0,1,1,1,1574868892,False,IN_SERVICE,005 - Plaza Italia,42,-34.5805497,-58.4209542,2019-11-27 12:37:08.432487-03:00
6,2,"{'mechanical': 2, 'ebike': 0}",2,16,0,1,1,1,1574868964,False,IN_SERVICE,006 - Parque Lezama,20,-34.628526,-58.369758,2019-11-27 12:37:08.432487-03:00
7,0,"{'mechanical': 0, 'ebike': 0}",0,16,0,1,1,1,1574868945,False,IN_SERVICE,007 - OBELISCO,16,-34.606498,-58.381098,2019-11-27 12:37:08.432487-03:00
8,0,"{'mechanical': 0, 'ebike': 0}",3,21,0,1,1,1,1574868819,False,IN_SERVICE,008 - Congreso,24,-34.6094218,-58.3893364,2019-11-27 12:37:08.432487-03:00
9,0,"{'mechanical': 0, 'ebike': 0}",1,23,0,1,1,1,1574868761,False,IN_SERVICE,009 - Parque Las Heras,24,-34.585443,-58.407741,2019-11-27 12:37:08.432487-03:00
11,2,"{'mechanical': 2, 'ebike': 0}",1,17,0,1,1,1,1574868907,False,IN_SERVICE,011 - Tribunales,20,-34.6011762,-58.3850791,2019-11-27 12:37:08.432487-03:00
12,0,"{'mechanical': 0, 'ebike': 0}",2,14,0,1,1,1,1574868962,False,IN_SERVICE,012 - Plaza Vicente Lopez,16,-34.5927096,-58.388807,2019-11-27 12:37:08.432487-03:00
13,0,"{'mechanical': 0, 'ebike': 0}",0,30,0,1,1,1,1574868921,False,IN_SERVICE,013 - ONCE,30,-34.61009,-58.406,2019-11-27 12:37:08.432487-03:00
14,4,"{'mechanical': 4, 'ebike': 0}",1,25,0,1,1,1,1574868975,False,IN_SERVICE,014 - Pacifico,30,-34.577424,-58.426387,2019-11-27 12:37:08.432487-03:00
15,13,"{'mechanical': 13, 'ebike': 0}",0,7,0,1,1,1,1574868777,False,IN_SERVICE,015 - JUANA MANSO II,20,-34.6004,-58.3636706,2019-11-27 12:37:08.432487-03:00
17,0,"{'mechanical': 0, 'ebike': 0}",0,20,0,1,1,1,1574868975,False,IN_SERVICE,017 - Plaza Almagro,20,-34.6064101,-58.4187306,2019-11-27 12:37:08.432487-03:00
19,1,"{'mechanical': 1, 'ebike': 0}",0,23,0,1,1,1,1574868835,False,IN_SERVICE,019 - PLAZA SAN MARTIN,24,-34.5956027,-58.3776353,2019-11-27 12:37:08.432487-03:00
20,0,"{'mechanical': 0, 'ebike': 0}",0,20,0,1,1,1,1574868929,False,IN_SERVICE,020 - Distrito Audiovisual,20,-34.5798619,-58.4417756,2019-11-27 12:37:08.432487-03:00
21,2,"{'mechanical': 2, 'ebike': 0}",6,16,3,1,1,1,1574868750,False,IN_SERVICE,021 - Parque Patricios,24,-34.640111,-58.406432,2019-11-27 12:37:08.432487-03:00
22,1,"{'mechanical': 1, 'ebike': 0}",0,19,0,1,1,1,1574868833,False,IN_SERVICE,022 - Arenales,20,-34.5938629,-58.3825498,2019-11-27 12:37:08.432487-03:00
23,0,"{'mechanical': 0, 'ebike': 0}",2,10,0,1,1,1,1574868911,False,IN_SERVICE,023 - Suipacha,12,-34.6003095,-58.3793463,2019-11-27 12:37:08.432487-03:00
24,0,"{'mechanical': 0, 'ebike': 0}",0,18,0,1,1,1,1574868878,False,IN_SERVICE,024 - ALSINA,18,-34.610583,-58.3808943,2019-11-27 12:37:08.432487-03:00
25,0,"{'mechanical': 0, 'ebike': 0}",1,23,0,1,1,1,1574868917,False,IN_SERVICE,025 - Plaza Guemes,24,-34.5894269,-58.4161178,2019-11-27 12:37:08.432487-03:00
26,10,"{'mechanical': 10, 'ebike': 0}",0,14,0,1,1,1,1574868802,False,IN_SERVICE,026 - JUANA MANSO I,24,-34.600752,-58.3638723,2019-11-27 12:37:08.432487-03:00
27,0,"{'mechanical': 0, 'ebike': 0}",1,15,0,1,1,1,1574868853,False,IN_SERVICE,027 - Montevideo,16,-34.599068,-58.3900887,2019-11-27 12:37:08.432487-03:00
28,0,"{'mechanical': 0, 'ebike': 0}",1,19,0,1,1,1,1574868840,False,IN_SERVICE,028 - Plaza Boedo,20,-34.6231273,-58.4127377,2019-11-27 12:37:08.432487-03:00
29,0,"{'mechanical': 0, 'ebike': 0}",0,30,0,1,1,1,1574868785,False,IN_SERVICE,029 - Parque Centenario,30,-34.6079414,-58.4335573,2019-11-27 12:37:08.432487-03:00
30,0,"{'mechanical': 0, 'ebike': 0}",1,19,0,1,1,1,1574868827,False,IN_SERVICE,030 - Peña,20,-34.5908211,-58.3973698,2019-11-27 12:37:08.432487-03:00
31,0,"{'mechanical': 0, 'ebike': 0}",0,20,0,1,1,1,1574868910,False,IN_SERVICE,031 - Padilla,20,-34.6032081,-58.4396457,2019-11-27 12:37:08.432487-03:00
32,2,"{'mechanical': 2, 'ebike': 0}",1,13,0,1,1,1,1574868880,False,IN_SERVICE,032 - Catedral,16,-34.6072074,-58.3735984,2019-11-27 12:37:08.432487-03:00
33,0,"{'mechanical': 0, 'ebike': 0}",1,19,0,1,1,1,1574868878,False,IN_SERVICE,033 - Facultad de Medicina,20,-34.5970909,-58.3989807,2019-11-27 12:37:08.432487-03:00
36,0,"{'mechanical': 0, 'ebike': 0}",2,14,0,1,1,1,1574868928,False,IN_SERVICE,036 - MAIPÚ,16,-34.6045481,-58.3767677,2019-11-27 12:37:08.432487-03:00
38,1,"{'mechanical': 1, 'ebike': 0}",1,18,0,1,1,1,1574868856,False,IN_SERVICE,038 - Plaza Libertad,20,-34.5970497,-58.3828403,2019-11-27 12:37:08.432487-03:00
39,1,"{'mechanical': 1, 'ebike': 0}",1,18,0,1,1,1,1574868832,False,IN_SERVICE,039 - CONGRESO II,20,-34.6092213,-58.3876925,2019-11-27 12:37:08.432487-03:00
40,0,"{'mechanical': 0, 'ebike': 0}",0,16,0,1,1,1,1574868786,False,IN_SERVICE,040 - Sarmiento,16,-34.604461,-58.373499,2019-11-27 12:37:08.432487-03:00
41,1,"{'mechanical': 1, 'ebike': 0}",0,19,1,1,1,1,1574868928,False,IN_SERVICE,041 - Urquiza y Rondeau,20,-34.6364511,-58.4076348,2019-11-27 12:37:08.432487-03:00
42,0,"{'mechanical': 0, 'ebike': 0}",1,23,0,1,1,1,1574868835,False,IN_SERVICE,042 - Diagonal Norte,24,-34.604447,-58.38003248,2019-11-27 12:37:08.432487-03:00
43,0,"{'mechanical': 0, 'ebike': 0}",0,16,0,1,1,1,1574868976,False,IN_SERVICE,334 - CENTRO DE EXPOSICIONES,16,-34.583918,-58.3900194,2019-11-27 12:37:08.432487-03:00
